"fk_vtl_id","unixtime","coordinate","vel_mph"
-60,1202508987,"(-122.0952,37.6464)",58
-60,1202509074,"(-122.0951,37.6465)",66
-60,1202509101,"(-122.0952,37.6465)",60
-60,1202509232,"(-122.0952,37.6464)",56
-60,1202509471,"(-122.0952,37.6465)",64
-60,1202509567,"(-122.0952,37.6465)",60
-60,1202509575,"(-122.0952,37.6465)",58
-60,1202509596,"(-122.0952,37.6465)",55
-60,1202509669,"(-122.0951,37.6465)",58
-60,1202509675,"(-122.0952,37.6465)",61
-60,1202509726,"(-122.0951,37.6465)",70
-60,1202509794,"(-122.0952,37.6465)",61
-60,1202509955,"(-122.0952,37.6464)",57
-60,1202509974,"(-122.0952,37.6465)",54
-60,1202510168,"(-122.0952,37.6465)",59
-60,1202510352,"(-122.0952,37.6464)",52
-60,1202510572,"(-122.0952,37.6465)",60
-60,1202510574,"(-122.0952,37.6465)",62
-60,1202510598,"(-122.0952,37.6465)",57
-60,1202510625,"(-122.095,37.6465)",73
-60,1202510665,"(-122.0952,37.6465)",56
-60,1202510671,"(-122.0952,37.6465)",50
-60,1202510674,"(-122.0952,37.6465)",49
-60,1202510835,"(-122.0952,37.6465)",66
-60,1202510852,"(-122.0952,37.6464)",60
-60,1202510958,"(-122.0952,37.6465)",57
-60,1202511048,"(-122.0952,37.6465)",57
-60,1202511231,"(-122.0952,37.6465)",55
-60,1202511432,"(-122.0952,37.6465)",57
-60,1202511465,"(-122.0952,37.6465)",79
-60,1202511580,"(-122.0952,37.6464)",57
-60,1202511680,"(-122.0952,37.6465)",53
-60,1202511688,"(-122.0952,37.6465)",58
-60,1202511750,"(-122.0952,37.6465)",57
-60,1202511763,"(-122.0952,37.6465)",55
-60,1202511855,"(-122.0952,37.6465)",65
-60,1202511972,"(-122.0951,37.6465)",60
-60,1202512138,"(-122.0952,37.6465)",58
-60,1202512266,"(-122.0952,37.6465)",57
-60,1202512391,"(-122.0952,37.6465)",48
-60,1202512458,"(-122.0951,37.6465)",64
-60,1202512589,"(-122.0952,37.6465)",50
-60,1202512679,"(-122.0951,37.6465)",43
-60,1202512769,"(-122.0951,37.6465)",44
-60,1202512927,"(-122.0952,37.6465)",37
-60,1202513104,"(-122.0952,37.6465)",37
-60,1202513112,"(-122.0952,37.6465)",35
-60,1202513133,"(-122.095,37.6465)",38
-60,1202513144,"(-122.0952,37.6465)",41
-60,1202513333,"(-122.0952,37.6465)",21
-60,1202513549,"(-122.0952,37.6465)",31
-60,1202513565,"(-122.0952,37.6464)",34
-60,1202514191,"(-122.0952,37.6465)",30
-60,1202514341,"(-122.0952,37.6465)",32
-60,1202514377,"(-122.0952,37.6465)",31
-60,1202514399,"(-122.0952,37.6465)",42
-60,1202514487,"(-122.0952,37.6465)",34
-60,1202514510,"(-122.0952,37.6465)",29
-60,1202514619,"(-122.0951,37.6465)",27
-60,1202514619,"(-122.0952,37.6465)",23
-60,1202514811,"(-122.0952,37.6465)",30
-60,1202514814,"(-122.0952,37.6465)",32
-60,1202514890,"(-122.0952,37.6465)",27
-60,1202515010,"(-122.0952,37.6465)",38
-60,1202515041,"(-122.0952,37.6465)",36
-60,1202515111,"(-122.0952,37.6465)",37
-60,1202515115,"(-122.0952,37.6464)",37
-60,1202515147,"(-122.0951,37.6465)",24
-60,1202515262,"(-122.0952,37.6465)",28
-60,1202515318,"(-122.0952,37.6465)",25
-60,1202515385,"(-122.0952,37.6464)",26
-60,1202515568,"(-122.0952,37.6465)",34
-60,1202515687,"(-122.0952,37.6465)",35
-60,1202515780,"(-122.0952,37.6465)",39
-60,1202515783,"(-122.0952,37.6465)",26
-60,1202515842,"(-122.0952,37.6465)",33
-60,1202515985,"(-122.0952,37.6465)",39
